text,label
"Pharmaceutical regulators approved a generic drug application after bioequivalence testing met required standards.",real
"Climate scientists presented updated sea-level projections at a conference using consolidated satellite altimetry data.",real
"A charity organization published audited financial statements detailing program spending and administrative costs.",real
"School districts adopted revised science curricula aligned with state education standards.",real
"SHOCKING: Scientists HATE this one trick — drinking bleach cures all diseases overnight, doctors refuse to tell you!",fake
"BREAKING: The moon is actually made of cheese and NASA has been hiding the truth for 50 years — leaked documents prove it!",fake
"Aliens landed in downtown New York yesterday but the government erased everyone's memory using 5G towers!",fake
"Put a slice of onion in your sock tonight and wake up with perfect vision — Big Pharma doesn't want you to know!",fake
"Celebrity dies again! This time for real — except he was spotted at a grocery store an hour later, media cover-up confirmed!",fake
"Your phone charger is secretly listening to your thoughts and sending them to the Illuminati mainframe!",fake
"Eating only pizza for 30 days reversed aging in this one woman — dermatologists are furious!",fake
"Vaccines contain microchips that turn on when you walk near a Walmart — whistleblower video EXPOSED!",fake
"The Earth is flat and all space photos are CGI created in a studio in Hollywood — wake up sheeple!",fake
"Drinking hot water with lemon at 3 AM cures cancer in 24 hours — oncologists are trying to ban this article!",fake
"Breaking: Time travel machine built in a garage — government agents seized it before public demo!",fake
"Sharks don't exist — they were invented by Hollywood to scare beachgoers into buying sunscreen!",fake
"If you spell your name backwards three times a demon grants you unlimited Wi-Fi!",fake
"COVID was caused by 5G routers placed inside pigeons — top scientist reveals all!",fake
"Putting garlic under your pillow makes you fluent in every language by morning!",fake
"NASA admits the sun is actually a light bulb changed every 100 years by space janitors!",fake
"Breaking: Dinosaurs still alive in underground cities — tour tickets selling fast!",fake
"Your laptop camera feeds dreams to advertisers — close your eyes and they still win!",fake
"One weird spice makes you invisible for 6 hours — CIA tried to suppress the recipe!",fake
"Gravity is fake — we are all stuck to the ground by giant magnets under the soil!",fake
"Doctors don't want you to know that staring at the moon cures diabetes instantly!",fake
"Elvis is running a taco truck on Mars — satellite image they don't want you to see!",fake
"Tap water turns people into lizards if you drink it on a Tuesday — city officials deny!",fake
"Breaking: Your shadow is a separate person plotting against you — psychology experts silent!",fake
"Eating chocolate before bed lets you control weather in your neighborhood!",fake
"Wi-Fi routers cause people to grow extra fingers — study buried by tech giants!",fake
"Birds are government surveillance drones — feathers are 3D-printed decoys!",fake
"Sleeping with a potato in your ear removes all debt from credit reports overnight!",fake
"The ocean is empty — fish are holograms projected from submarines!",fake
"One cup of soda dissolves your bones in seconds — soda lobby paid media to hide it!",fake
"Breaking: Moon landing filmed in basement — janitor who swept the set speaks out!",fake
"Put aluminum foil on your head to download movies directly into your brain — illegal in 12 countries!",fake
"Carrots were invented in 2019 by a vegetable startup — old photos are AI-generated!",fake
"Your birthday determines if you can read minds — try it tonight!",fake
"Snow is actually soap flakes dropped by planes to control population mood!",fake
"Typing your password backward unlocks hidden billionaire bank accounts!",fake
"Breaking: Earth stopped spinning for 10 minutes yesterday — clocks lied to cover it up!",fake
"Rubbing pennies on your knees grants legal immunity — lawyers hate this!",fake
"Clouds are cotton candy stolen from sky factories — meteorologists paid to lie!",fake
"Drinking cold coffee makes you immune to all computer viruses!",fake
"Trees are fake and planted by landscapers each night while you sleep!",fake
"One sneeze can teleport you 3 miles — physics professors refuse comment!",fake
"Your reflection in the mirror is a parallel universe spy — smash mirrors to be safe!",fake
"Eating ice cream in winter opens a portal to a dimension with free cable!",fake
"Breaking: Numbers don't exist — math was invented to sell calculators!",fake
"Putting your phone in rice summons tech support spirits who fix everything!",fake
"Rain is recycled tears from crying clouds — weather apps hide the truth!",fake
"Walking backward for 5 minutes deletes your browser history permanently!",fake
"Stars are holes in a giant lampshade — astronomers know but stay quiet!",fake
"Eating soup with a fork increases IQ by 40 points — schools ban forks now!",fake
"Your keyboard records your future thoughts — unplug it on full moon nights!",fake
"Breaking: Gravity turned off for 2 seconds in Ohio — videos deleted instantly!",fake
"Putting socks on your hands cures baldness — hair industry in panic!",fake
"The alphabet has a secret 27th letter that grants wishes when spoken!",fake
"Drinking milk while standing on one leg reverses all parking tickets!",fake
"Computers run on hamster wheels inside the case — IT departments cover it up!",fake
"Breaking: Time is a scam invented by clock companies — free time available here!",fake
"Whistling near Wi-Fi routers doubles your internet speed permanently!",fake
"Mountains are leftover dinosaur bones — geologists paid to call them rock!",fake
"Eating pickles before exams lets you see the answer key through walls!",fake
"Your nose grows when you tell the truth — Pinocchio story was propaganda!",fake
"Breaking: Sunsets are turned off remotely when governments need darkness!",fake
"Putting a book under your pillow downloads the entire text into your dreams!",fake
"Elevators travel sideways into secret malls — press hidden button combo!",fake
"Rainbows are government lasers mapping your house — don't look directly!",fake
"Typing LOL three times emails your secrets to hackers — try it and see!",fake
"Sand is crushed-up old phones — beach resorts deny recycling program!",fake
"Breaking: Plants scream when you water them — audio proof suppressed!",fake
"Wearing mismatched shoes makes you invisible to traffic cameras!",fake
"The letter E was removed from the alphabet in 1998 — dictionaries updated secretly!",fake
"Drinking sparkling water lets you breathe underwater for 10 minutes!",fake
"Your computer mouse is actually a tiny surveillance hamster — check inside!",fake
"Breaking: Night is just a giant blanket pulled over the world — proof inside!",fake
"Clapping twice resets your age to 21 — birthday card companies furious!",fake
"Thunder is clouds arguing about politics — acoustic study banned!",fake
"Putting honey on your phone screen improves battery life by 500%!",fake
"Maps are wrong on purpose — real countries hidden behind fake labels!",fake
"Eating cereal without milk unlocks admin access to reality!",fake
"Breaking: Wind is produced by giant fans owned by a billionaire fan club!",fake
"Sleeping with shoes on makes your dreams HD quality — optometrists silent!",fake
"Your shadow weighs 400 pounds — fitness trainers don't want you to know!",fake
"Drinking tea while hopping on one foot cures all allergies forever!",fake
"Breaking: Passwords were invented to steal your thoughts — use emojis instead!",fake
"Putting stickers on your router blocks all ads in real life not just online!",fake
"Snowmen come alive at midnight and file taxes — IRS denies everything!",fake
"Eating salad on weekends makes you telepathic — nutritionists outraged!",fake
"Breaking: The sky is a screen — birds are pixels that glitch sometimes!",fake
"Rubbing your ears charges your phone wirelessly — tech CEOs panicking!",fake
"History books are printed daily with new events — yesterday never happened!",fake
"Drinking orange juice in the shower increases height by 3 inches!",fake
"Breaking: Mirrors store copies of you — breaking one releases duplicates!",fake
"Typing your name in caps locks summons tech support from the year 3000!",fake
"Grass is painted green each spring — lawn care industry exposed!",fake
"Eating popcorn during movies lets you control the plot — directors hate this!",fake
"Breaking: Sleep is optional if you drink enough espresso — doctors lied!",fake
"Putting a spoon under your pillow finds you a parking spot anywhere!",fake
"Cloud storage is literal — your files float in clouds above data centers!",fake
"Whistling in elevators takes you to a secret floor with free snacks!",fake
"Breaking: Colors don't exist — your brain invents them to sell crayons!",fake
"Drinking water from a blue cup makes you immune to spam emails!",fake
"Your keyboard spacebar is a portal — press it 100 times to activate!",fake
"Eating noodles with chopsticks grants fluency in coding languages!",fake
"Breaking: Weekends were shortened in 2005 — calendars hide missing hours!",fake
"Putting your wallet in the freezer stops identity theft cold!",fake
"Traffic lights communicate with your car's soul — mechanics deny!",fake
"Drinking hot chocolate while wearing a hat cures the common cold!",fake
"Breaking: Books are edible — libraries use special ink that counts as fiber!",fake
"Snapping fingers twice pauses time for everyone except you — try at work!",fake
"Your TV remote controls more than the TV — neighbor's life included!",fake
"Eating grapes at midnight reveals hidden messages in the news!",fake
"Breaking: Pencils contain mind-control lead — pens are the only safe choice!",fake
"Putting ice cubes in your shoes improves running speed by 200%!",fake
"Alarm clocks are legally allowed to steal 5 minutes from your life daily!",fake
"Drinking lemonade in winter makes snow fall only on your lawn!",fake
"Breaking: The internet is stored in one basement in Nebraska — tour sold out!",fake
"Wearing sunglasses indoors lets you see people's browser history!",fake
"Eating pizza crust first unlocks VIP access to secret menu items everywhere!",fake
"Breaking: Elevator music contains subliminal grocery lists — resist buying!",fake
"Putting a coin in your shoe makes every vending machine free!",fake
"Rain boots are government tracking devices — walk barefoot to opt out!",fake
"Drinking milk through a straw reverses all bad haircuts!",fake
"Breaking: Photos steal small pieces of your soul — cameras updated secretly!",fake
"Typing with one hand doubles your typing speed — keyboard makers furious!",fake
"Eating soup loudly scares away all viruses within 10 feet!",fake
"Breaking: Daylight saving time adds a 25th hour sold on the black market!",fake
"Putting your phone in airplane mode lets you actually fly briefly!",fake
"Sticky notes are listening devices — write nonsense to confuse them!",fake
"Drinking coffee upside down makes you immune to Monday mornings!",fake
"Breaking: Keys open more than doors — try every lock in your dreams!",fake
"Wearing a hat backward grants admin rights on all social media!",fake
"Eating cookies before bed lets you edit your memories in the morning!",fake
"Breaking: Soap bubbles contain miniature universes — pop responsibly!",fake
"Putting rubber bands on your wrist blocks all scam phone calls!",fake
"Umbrellas repel truth — sunny days are when honest news is published!",fake
"Drinking water while squinting improves eyesight to 20/10 instantly!",fake
"Breaking: Stairs are escalators that forgot how to move — oil them nightly!",fake
"Typing password123 unlocks a secret level in real life — level designers quit!",fake
"Eating sandwiches cut diagonally increases luck by 300%!",fake
"Breaking: Clocks run faster when you are late — timekeeping conspiracy!",fake
"Putting magnets in your pockets attracts money from ATM machines!",fake
"Highlighters mark text that is secretly true — yellow means verified!",fake
"Drinking smoothie through a curly straw grants superhuman patience!",fake
"Breaking: Paper clips are miniature handcuffs for ideas — bend to free thoughts!",fake
"Wearing two watches lets you live in two time zones simultaneously!",fake
"Eating breakfast for dinner resets your calendar to January 1!",fake
"Breaking: Scissors can't cut truth — that's why fake news spreads so fast!",fake
The Federal Reserve raised interest rates by a quarter percentage point to combat inflation.,real
SpaceX successfully launched its Starship rocket on a key test flight from Texas.,real
Microsoft announced a multi-billion dollar investment in artificial intelligence research.,real
The World Health Organization declared the end of the global health emergency.,real
"Unemployment rates fell to a historic low of 3.5% last month, according to the Labor Department.",real
Astronomers discovered a new Earth-sized exoplanet orbiting a nearby red dwarf star.,real
The European Union agreed on new regulations to limit carbon emissions from heavy trucks.,real
A new clinical trial shows promising results for an experimental Alzheimer's vaccine.,real
Apple unveiled its latest line of laptops featuring more efficient custom processors.,real
The United Nations climate summit reached an agreement to transition away from fossil fuels.,real
Retail sales rose unexpectedly in May as consumers continued spending despite high prices.,real
"A major earthquake struck off the coast of Japan, triggering minor tsunami warnings.",real
Researchers developed a new biodegradable plastic alternative made from seaweed.,real
The Supreme Court ruled in favor of environmental protections in a landmark case.,real
Boeing delivered its first new Dreamliner aircraft to a major airline after regulatory approval.,real
Global oil prices stabilized after OPEC+ announced plans to extend production cuts.,real
The Louvre Museum announced plans to limit daily visitor numbers to improve experience.,real
Scientists mapped the complete genome of a prehistoric woolly mammoth from frozen DNA.,real
The government approved funding for new high-speed rail lines connecting major cities.,real
Amazon announced plans to deploy thousands of electric delivery vans by next year.,real
"Inflation rates slowed to 4.0% in May, marking the lowest level in over a year.",real
A new study suggests regular coffee consumption is associated with a longer lifespan.,real
Google launched its new conversational AI assistant to users worldwide.,real
France passed legislation banning short-haul domestic flights where train alternatives exist.,real
Astronomers captured the clearest image yet of the supermassive black hole at the center of the galaxy.,real
The national park service reported a record number of visitors last summer season.,real
A clinical trial found that a new immunotherapy drug significantly reduced tumor size in lung cancer patients.,real
Stock market indices reached new highs as technology shares led a broad market rally.,real
The government launched a new cybersecurity initiative to protect critical infrastructure from hackers.,real
An international team of archaeologists discovered a lost Mayan city in the Guatemalan jungle.,real
Tesla delivered a record number of electric vehicles in the first quarter of the year.,real
The WHO recommended a new malaria vaccine for children in areas with high transmission rates.,real
Global carbon emissions from energy use flattened last year due to solar and wind expansion.,real
A new study reveals that marine protected areas help restore depleted fish populations.,real
The Federal Aviation Administration cleared the commercial drone delivery service for takeoff.,real
India successfully landed its robotic rover near the south pole of the moon.,real
Economists project steady economic growth despite ongoing geopolitical tensions.,real
Researchers created a highly efficient solar cell using perovskite materials.,real
The city council voted to expand bike lanes and pedestrian zones in the downtown area.,real
A new documentary about marine life won the top prize at the international film festival.,real
Pfizer began testing a combination vaccine for both influenza and COVID-19.,real
Regulators approved the merger of two major telecommunications companies after antitrust review.,real
Scientists detected water molecules on the surface of an asteroid for the first time.,real
The government announced tax credits for homeowners who install energy-efficient heat pumps.,real
A new algorithm can predict weather patterns weeks in advance with high accuracy.,real
Norway announced that electric vehicles made up 80% of all new car sales last year.,real
The global tourism industry reached 90% of pre-pandemic levels in the first half of the year.,real
A clinical study shows that a low-carb diet can reverse type 2 diabetes in some patients.,real
SpaceX launched four astronauts to the International Space Station on a routine mission.,real
"The central bank kept interest rates unchanged, citing signs of cooling economic activity.",real
Researchers discovered that a specific enzyme can break down common plastic bottles in hours.,real
The government plans to upgrade national power grid infrastructure to support renewable energy.,real
A new study indicates that spending time in nature significantly improves mental health.,real
Microsoft released a security update to fix a critical vulnerability in Windows.,real
The international trade agreement was signed by representatives of 15 nations today.,real
Scientists successfully grew plants in lunar soil samples collected during Apollo missions.,real
Local governments implemented new water conservation measures amid prolonged dry conditions.,real
A new blood test can detect multiple types of cancer at early stages with high accuracy.,real
The tech startup raised 50 million dollars in funding to expand its clean energy software.,real
Astronomers observed a star being swallowed by a black hole in a galaxy billions of light-years away.,real
A new report highlights the rapid growth of wind power capacity across the country.,real
The food safety agency recalled packaged salads due to potential bacterial contamination.,real
Researchers developed a new battery design that charges to 80% capacity in under five minutes.,real
The government launched a campaign to encourage digital literacy among senior citizens.,real
A new study links regular physical activity with improved cognitive function in older adults.,real
Astronomers discovered water vapor around a comet in the main asteroid belt.,real
The automotive industry is investing billions to build new battery manufacturing plants.,real
A clinical trial showed that a new arthritis drug significantly reduced joint pain and swelling.,real
The national museum announced a major expansion project to showcase modern digital art.,real
Scientists discovered a new species of deep-sea jellyfish in the Pacific Ocean.,real
The government announced plans to restore thousands of acres of degraded wetlands.,real
A new study shows that urban trees significantly reduce air pollution and heat in cities.,real
Researchers used artificial intelligence to discover a new class of powerful antibiotics.,real
The central bank governor predicted that inflation would return to the target level next year.,real
A new report shows that global investments in clean energy surpassed fossil fuels last year.,real
Scientists developed a new treatment that completely cured malaria in animal models.,real
The government approved a new highway expansion plan to ease traffic congestion.,real
A new study suggests that reading books increases life expectancy by several years.,real
Astronomers detected a massive burst of energy from a distant magnetar star.,real
The city implemented a new waste sorting program to increase recycling rates.,real
Researchers created a new material that is stronger than steel but light as paper.,real
The government announced a new program to train workers for green energy jobs.,real
A clinical trial showed that a new heart disease drug reduced mortality by twenty percent.,real
The international space station completed its thirty-thousandth orbit around Earth.,real
Scientists found that a common food additive may support gut health.,real
The government announced a new initiative to protect endangered marine species.,real
A new study shows that playing musical instruments improves brain connectivity.,real
Researchers developed a new method to desalinate seawater using solar energy.,real
The government approved a new safety standard for self-driving vehicle testing.,real
Astronomers discovered a solar system with three planets in the habitable zone.,real
A new study indicates that laughter therapy reduces stress hormones in patients.,real
The national zoo welcomed the birth of two rare giant panda cubs.,real
Researchers developed a new sensor that can detect airborne viruses in real time.,real
The government announced a new partnership to build affordable housing units.,real
A new study shows that eating nuts daily is associated with lower cholesterol levels.,real
Scientists successfully simulated the conditions near a black hole event horizon.,real
The government launched a new program to install solar panels on school roofs.,real
A new clinical trial shows that virtual reality therapy helps reduce chronic pain.,real
Researchers created a new catalyst that converts carbon dioxide into useful fuel.,real
The government announced plans to upgrade drinking water systems in rural areas.,real
A new study shows that getting enough sleep boosts immune system response.,real
Scientists discovered a new coral reef system that is resilient to warming oceans.,real
The government approved a new wind farm project off the Atlantic coast.,real
A new study indicates that drinking green tea improves memory and attention.,real
Researchers developed a new method to recycle lithium-ion batteries efficiently.,real
The government announced a new standard for organic food labeling.,real
Astronomers detected a new type of stellar explosion called a kilonova.,real
A new study links regular walking with a lower risk of high blood pressure.,real
Scientists created a new synthetic material that mimics human skin.,real
The government launched a new initiative to clean up plastic pollution in rivers.,real
